Dragon Village,,,
DVEntry,336,on the ground,True_()
DVEntry,300,dark shards,"HasAny('Double Jump', 'Charge')"
DVEntry,100,metal chests,"HasAny('Double Jump', 'Charge', 'Electric Breath')"
DVEntry,175,baskets,"HasAny('Double Jump', 'Charge', 'Fire Breath', 'Electric Breath', 'Water Breath', 'Ice Breath')"
DVEntry,150,baskets behind chargeable wall near elder,Has('Charge')
DVEntry,500,armored chest via firework across bridge,"HasAll('Double Jump', 'Fire Breath')"
DVByrdLower,150,baskets,True_()
DVByrdLower,100,metal chests,True_()
DVByrdLower,20,armored huge gnorc,"And(Has('Charge'), HasAny('Fire Breath', 'Electric Breath', 'Ice Breath'))"
DVByrdLower,36,on the ground,True_()
DVByrdLower,50,dark shards,True_()
DVByrdLower,60,headbash chest + rock,True_()
DVByrdLower,755,Byrd minigames,True_()
DVByrdUpper,500,armored chest via firework,Has('Fire Breath')
DVLabSecret,250,baskets,True_()
DVLabSecret,60,headbash chest + rock,True_()
DVLabSecret,40,archer gnorcs,True_()
DVLabSecret,25,metal chests,True_()
DVTunnelToCroc,10,on the ground,True_()
DVTunnelToCroc,175,baskets,True_()
DVTunnelToCroc,30,headbash chest,True_()
DVHunterPreGlide,31,on the ground,True_()
DVHunterPreGlide,150,baskets,True_()
DVHunterPreGlide,75,metal chests,True_()
DVHunterPreGlide,30,headbash chest,True_()
DVHunterPreGlide,20,unarmored huge gnorc,"Or(HasAny('Fire Breath', 'Electric Breath'), HasAll('Ice Breath', 'Charge'))"
DVHunterPreGlide,500,armored chest via firework,"HasAll('Glide', 'Fire Breath')"
DVHunterPostGlide,40,unarmored huge gnorc,"Or(HasAny('Fire Breath', 'Electric Breath'), HasAll('Ice Breath', 'Charge'))"
DVHunterPostGlide,175,metal chests,True_()
DVHunterPostGlide,175,baskets,True_()
DVHunterPostGlide,20,unarmored middle gnorc,"HasAny('Fire Breath', 'Electric Breath', 'Charge')"
DVHunterPostGlide,90,headbash chest + rock,True_()
DVHunterPostGlide,11,on the ground,True_()
DVHunterPostGlide,20,armored huge gnorc,"And(Has('Charge'), HasAny('Fire Breath', 'Electric Breath', 'Ice Breath'))"
DVOutsideBallGadget,500,armored chest via firework,Has('Fire Breath')
DVOutsideBallGadget,40,armored huge gnorcs,"And(Has('Charge'), HasAny('Fire Breath', 'Electric Breath', 'Ice Breath'))"
DVOutsideBallGadget,75,metal chests,"HasAny('Double Jump', 'Charge', 'Electric Breath')"
DVOutsideBallGadget,24,on the ground,True_()
Crocovile Swamp,,,
CSPyramidAndTemple,50,dark shards,"HasAny('Double Jump', 'Charge')"
CSPyramidAndTemple,175,baskets,"HasAny('Double Jump', 'Charge', 'Fire Breath', 'Electric Breath', 'Water Breath', 'Ice Breath')"
CSPyramidAndTemple,33,on the ground,True_()
CSPyramidAndTemple,125,metal chests,"HasAny('Double Jump', 'Charge', 'Electric Breath')"
CSPyramidAndTemple,145,normal crocoviles,"HasAny('Fire Breath', 'Electric Breath', 'Charge')"
CSPyramidAndTemple,40,boomerang crocoviles,"HasAny('Fire Breath', 'Electric Breath', 'Charge')"
CSPyramidAndTemple,75,critters,"HasAny('Fire Breath', 'Electric Breath', 'Charge')"
CSPyramidAndTemple,30,headbash chest,Has('Double Jump')
CSPyramidAndTemple,60,red plants,"Or(HasAny('Fire Breath', 'Electric Breath'), HasAll('Ice Breath', 'Charge'))"
CSPyramidAndTemple,31,yellow plants,"Or(HasAny('Fire Breath', 'Electric Breath'), HasAll('Ice Breath', 'Charge'))"
CSPyramidAndTemple,75,baskets behind chargeable wall with switch,Has('Charge')
CSPyramidAndTemple,75,normal crocoviles on pyramid,Has('Double Jump')
CSPyramidAndTemple,1000,armored chests on pyramid vs cannon,"HasAll('Double Jump', 'Glide')"
CSPyramidAndTemple,2500,armored chests via supercharge,SuperchargeGadget()
CSPyramidAndTemple,50,metal chests behind Perilous Pyramid supercharge door,SuperchargeGadget()
CSWest,125,on the ground,True_()
CSWest,15,red plant,"Or(HasAny('Fire Breath', 'Electric Breath'), HasAll('Ice Breath', 'Charge'))"
CSWest,15,yellow plan,"Or(HasAny('Fire Breath', 'Electric Breath'), HasAll('Ice Breath', 'Charge'))"
CSWest,50,baskets,True_()
CSWest,500,armored chest via firework,Has('Fire Breath')
CSWest,30,headbash chest,True_()
CSInsideTemple,25,normal crocovile guarding switch,"HasAny('Fire Breath', 'Electric Breath', 'Charge')"
CSInsideTemple,50,metal chests behind guarded gate,"HasAny('Fire Breath', 'Electric Breath', 'Charge')"
CSInsideTemple,30,headbash chest behind guarded gate,"HasAny('Fire Breath', 'Electric Breath', 'Charge')"
CSInsideTemple,25,normal crocovile in cave,"HasAny('Fire Breath', 'Electric Breath', 'Charge')"
CSInsideTemple,40,unarmored huge gnorcs in cave,"Or(HasAny('Fire Breath', 'Electric Breath'), HasAll('Ice Breath', 'Charge'))"
CSInsideTempleElectric,75,baskets,True_()
CSInsideTempleElectric,100,metal chests,True_()
CSInsideTempleElectric,50,normal crocoviles,True_()
CSInsideTempleElectric,20,boomerang crocoviles,True_()
CSEast,20,boomerang crocoviles,"HasAny('Fire Breath', 'Electric Breath', 'Charge')"
CSEast,50,metal chests,"HasAny('Double Jump', 'Charge', 'Electric Breath')"
CSEast,80,baskets and headbash chest on muddy platform,"HasAll('Double Jump', 'Glide')"
CSEast,25,normal crocovile above pole spin,"And(HasAny('Fire Breath', 'Electric Breath', 'Charge'), Has('Pole Spin'))"
CSEastPoles,50,normal crocoviles,"HasAny('Fire Breath', 'Electric Breath', 'Charge')"
CSEastPoles,25,metal chest,True_()
CSTree,25,normal crocovile past sinking platforms,"And(HasAny('Fire Breath', 'Electric Breath', 'Charge'), Has('Double Jump'))"
CSTree,15,red plant past sinking platforms,"And(Has('Double Jump'), Or(HasAny('Fire Breath', 'Electric Breath'), HasAll('Ice Breath', 'Charge')))"
CSTree,25,metal chest behind chargeable stump,Has('Charge')
CSTree,50,baskets in stump,"HasAny('Double Jump', 'Charge', 'Fire Breath', 'Electric Breath', 'Water Breath', 'Ice Breath')"
CSTree,25,normal crocovile above poles outside tree,"And(Has('Pole Spin'), HasAny('Fire Breath', 'Electric Breath', 'Charge'))"
CSTree,25,metal chest above poles outside tree,"And(Has('Pole Spin'), HasAny('Double Jump', 'Charge', 'Electric Breath'))"
CSTree,30,headbash chest above poles outside tree,"HasAll('Pole Spin', 'Double Jump')"
CSTree,75,spider web baskets above Blink's poles,"HasAll('Fire Breath', 'Pole Spin')"
CSTree,500,armored chest via firework in tree,"HasAll('Double Jump', 'Pole Spin', 'Fire Breath')"
CSTree,1806,Blink minigames,True_()
CSAboveElder,75,metal chests,True_()
CSAboveElder,500,armored chest via firework at top of tree,Has('Fire Breath')
CSAboveElder,30,headbash chest,True_()
Dragonfly Falls,,,
DFBallGadget,896,on ball gadget path,True_()
DFEntry,25,normal crocovile by entry area,"HasAny('Fire Breath', 'Electric Breath', 'Charge')"
DFSteepCanyon,25,normal crocovile by chest above entry,"And(Has('Glide'), HasAny('Fire Breath', 'Electric Breath', 'Charge'))"
DFSteepCanyon,250,baskets,"HasAny('Double Jump', 'Charge', 'Fire Breath', 'Electric Breath', 'Water Breath', 'Ice Breath')"
DFSteepCanyon,125,metal chests,"HasAny('Double Jump', 'Charge', 'Electric Breath')"
DFSteepCanyon,250,dark shards behind chargeable wall,Has('Charge')
DFSteepCanyon,90,headbash chests,Has('Double Jump')
DFSteepCanyon,75,rams,"HasAny('Fire Breath', 'Electric Breath')"
DFSteepCanyon,25,shepherd,"HasAny('Fire Breach', 'Electric Breath', 'Charge')"
DFSteepCanyon,414,on the ground behind chargeable walls,Has('Charge')
DFSteepCanyon,150,metal chests behind chargeable walls,Has('Charge')
DFSteepCanyon,60,headbash chests behind chargeable walls,"HasAll('Charge', 'Double Jump')"
DFSteepCanyon,250,baskets behind chargeable walls,Has('Charge')
DFSteepCanyon,75,normal crocoviles,"HasAny('Fire Breath', 'Electric Breath', 'Charge')"
DFSteepCanyon,25,normal crocovile by cannon,"And(HasAll('Double Jump', 'Glide'), HasAny('Fire Breath', 'Electric Breath', 'Charge'))"
DFSteepCanyon,169,on the ground,True_()
DFSteepCanyon,15,red plant,"Or(HasAny('Fire Breath', 'Electric Breath'), HasAll('Ice Breath', 'Charge'))"
DFSteepCanyon,20,armored huge gnorc in second canyon area,"And(HasAll('Double Jump', 'Charge'), HasAny('Fire Breath', 'Electric Breath', 'Ice Breath'))"
DFSteepCanyon,50,metal chests in second canyon area,Has('Double Jump')
DFSteepCanyon,30,headbash chest in second canyon area,Has('Double Jump')
DFSteepCanyon,100,baskets in second canyon area,Has('Double Jump')
DFSteepCanyon,20,unarmored huge gnorc in second canyon area,"And(Has('Double Jump'), Or(HasAny('Fire Breath', 'Electric Breath'), HasAll('Ice Breath', 'Charge')))"
DFAfterVultures,19,on the ground,True_()
